Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
13-Oct-18, Sainsbury's  ,7.55,  ,  ,  ,156.85, groceries, 
13-Oct-18, Sainsbury's  ,7,  ,  ,  ,164.4, groceries, 
13-Oct-18, Boyle Dry Cleaning  ,4.95,  ,  ,  ,171.4, services, 
12-Oct-18, To Holidays   ,2,  ,  ,  ,176.35, transfers, 
12-Oct-18, To Holidays   ,0.74,  ,  ,  ,178.35, transfers, 
12-Oct-18, To Holidays   ,1,  ,  ,  ,179.09, transfers, 
12-Oct-18, To Holidays   ,1.02,  ,  ,  ,180.09, transfers, 
12-Oct-18, To Holidays   ,1,  ,  ,  ,181.11, transfers, 
12-Oct-18, PureGym York  ,9.99,  ,  ,  ,182.11, entertainment, 
11-Oct-18, To Holidays   ,2,  ,  ,  ,192.1, transfers, 
11-Oct-18, To Holidays   ,0.9,  ,  ,  ,194.1, transfers, 
11-Oct-18, To Holidays   ,0.1,  ,  ,  ,195, transfers, 
11-Oct-18, To Holidays   ,1.3,  ,  ,  ,195.1, transfers, 
11-Oct-18, To Lorenz Maresca  ,675,  ,  ,  ,196.4, transfers, 
11-Oct-18, From Luca Mircoli  ,  ,720,  ,  ,871.4, transfers, Devi morí
11-Oct-18, Co-op Food - Strand  ,17.38,  ,  ,  ,151.4, groceries, 
11-Oct-18, Sainsbury's  ,28.9,  ,  ,  ,168.78, groceries, 
10-Oct-18, To Holidays   ,0.02,  ,  ,  ,197.68, transfers, 
10-Oct-18, From Holidays   ,  ,81.53,  ,  ,197.7, transfers, 
09-Oct-18, To Holidays   ,0.2,  ,  ,  ,116.17, transfers, 
09-Oct-18, To Holidays   ,50,  ,  ,  ,116.37, transfers, 
09-Oct-18, Cash at Sainsbury's Bank Fee: 0.36 ,140.36,  ,  ,  ,166.37, cash, 
09-Oct-18, Trainline  ,53,  ,  ,  ,306.73, transport, 
09-Oct-18, Burger & Lobster  ,63.9,  ,  ,  ,359.73, restaurants, 
09-Oct-18, Cycle Surgery  ,40,  ,  ,  ,423.63, shopping, 
09-Oct-18, Comptoir Libanais Oxford Street  ,34.7,  ,  ,  ,463.63, restaurants, 
09-Oct-18, Starbucks  ,8.39,  ,  ,  ,498.33, restaurants, 
08-Oct-18, To Holidays   ,1.24,  ,  ,  ,506.72, transfers, 
08-Oct-18, Payment from Kamenskikh K  ,  ,26.5,  ,  ,507.96, general, OXFORD
08-Oct-18, Todich Floral Design - London florist  ,12.5,  ,  ,  ,481.46, shopping, 
08-Oct-18, Boots  ,13.99,  ,  ,  ,493.96, health, 
08-Oct-18, Tesco Superstore  ,11.17,  ,  ,  ,507.95, groceries, 
08-Oct-18, Trainline  ,41.6,  ,  ,  ,519.12, transport, 
08-Oct-18, Uber Eats  ,12.49,  ,  ,  ,560.72, transport, 
08-Oct-18, Sainsbury's  ,11,  ,  ,  ,573.21, groceries, 
08-Oct-18, To Holidays   ,1.2,  ,  ,  ,584.21, transfers, 
08-Oct-18, Transport for London  ,2.4,  ,  ,  ,585.41, transport, 
08-Oct-18, Netflix HQ  ,9.99,  ,  ,  ,587.81, utilities, 
07-Oct-18, To Holidays   ,2,  ,  ,  ,597.8, transfers, 
07-Oct-18, To Holidays   ,0.6,  ,  ,  ,599.8, transfers, 
07-Oct-18, To Holidays   ,2,  ,  ,  ,600.4, transfers, 
07-Oct-18, To Holidays   ,1.22,  ,  ,  ,602.4, transfers, 
07-Oct-18, The Court  ,16.99,  ,  ,  ,603.62, restaurants, 
07-Oct-18, To Holidays   ,0.2,  ,  ,  ,620.61, transfers, 
07-Oct-18, Transport for London  ,2.9,  ,  ,  ,620.81, transport, 
07-Oct-18, Tesco Superstore  ,7.25,  ,  ,  ,623.71, transport, 
07-Oct-18, Park Plaza Sherlock Holmes London  ,11.34,  ,  ,  ,630.96, restaurants, 
07-Oct-18, Park Plaza Sherlock Holmes London  ,3.6,  ,  ,  ,642.3, restaurants, 
07-Oct-18, To Holidays   ,0.02,  ,  ,  ,645.9, transfers, 
07-Oct-18, To Holidays   ,2,  ,  ,  ,645.92, transfers, 
06-Oct-18, To Holidays   ,1.02,  ,  ,  ,647.92, transfers, 
06-Oct-18, To Holidays   ,2,  ,  ,  ,648.94, transfers, 
06-Oct-18, To Holidays   ,0.2,  ,  ,  ,650.94, transfers, 
06-Oct-18, To Holidays   ,0.02,  ,  ,  ,651.14, transfers, 
06-Oct-18, To Holidays   ,1.66,  ,  ,  ,651.16, transfers, 
06-Oct-18, To Holidays   ,1,  ,  ,  ,652.82, transfers, 
06-Oct-18, Purl London  ,81,  ,  ,  ,653.82, restaurants, 
06-Oct-18, Park Plaza Sherlock Holmes London  ,9.64,  ,  ,  ,734.82, restaurants, 
06-Oct-18, Park Plaza Sherlock Holmes London  ,4.5,  ,  ,  ,744.46, restaurants, 
05-Oct-18, To Holidays   ,1.5,  ,  ,  ,748.96, transfers, 
05-Oct-18, Exchange  to GBP FX Rate £1 = €1.1377 ,  ,439.48,  EUR 500.00 ,  ,750.46, general, 
05-Oct-18, To Holidays   ,0.8,  ,  ,  ,310.98, transfers, 
05-Oct-18, To Holidays   ,0.02,  ,  ,  ,311.78, transfers, 
05-Oct-18, To Holidays   ,1.32,  ,  ,  ,311.8, transfers, 
05-Oct-18, Park Plaza Sherlock Holmes London  ,2.8,  ,  ,  ,313.12, restaurants, 
05-Oct-18, To Holidays   ,0.8,  ,  ,  ,315.92, transfers, 
04-Oct-18, To Holidays   ,0.72,  ,  ,  ,316.72, transfers, 
04-Oct-18, To Holidays   ,1,  ,  ,  ,317.44, transfers, 
04-Oct-18, Transport for London  ,1.5,  ,  ,  ,318.44, transport, 
04-Oct-18, Darcie & May Green  ,6.25,  ,  ,  ,319.94, restaurants, 
04-Oct-18, To Holidays   ,1,  ,  ,  ,326.19, transfers, 
03-Oct-18, To Holidays   ,2,  ,  ,  ,327.19, transfers, 
03-Oct-18, To Holidays   ,0.4,  ,  ,  ,329.19, transfers, 
03-Oct-18, Marylebone  ,5.55,  ,  ,  ,329.59, restaurants, 
03-Oct-18, To Holidays   ,0.4,  ,  ,  ,335.14, transfers, 
03-Oct-18, Transport for London  ,6.8,  ,  ,  ,335.54, transport, 
03-Oct-18, Fierce Grace  ,42.4,  ,  ,  ,342.34, health, 
02-Oct-18, To Holidays   ,1.5,  ,  ,  ,384.74, transfers, 
02-Oct-18, Transport for London  ,1.5,  ,  ,  ,386.24, transport, 
01-Oct-18, To Holidays   ,1.2,  ,  ,  ,387.74, transfers, 
01-Oct-18, To Holidays   ,0.9,  ,  ,  ,388.94, transfers, 
01-Oct-18, To Christopher Maclean  ,1,,,,,,
01-Oct-18, Exchange  to GBP FX Rate £1 = €1.1250 ,  ,1,,,,,
30-Sep-18, To Holidays   ,1,  ,  ,  ,12.12, transfers, 
23-Sep-18, From Luca Mircoli  ,  ,10,  ,  ,13.12, transfers, 
22-Sep-18, Cash at London Diving Centre  ,20,  ,  ,  ,3.12, cash, 
22-Sep-18, TortelliniCup London  ,10.2,  ,  ,  ,23.12, restaurants, 
22-Sep-18, Sainsbury's  ,14.65,  ,  ,  ,33.32, groceries, 
20-Sep-18, From Holidays   ,  ,5,  ,  ,47.97, transfers, 
20-Sep-18, To Holidays   ,0.7,  ,  ,  ,42.97, transfers, 
20-Sep-18, To Holidays   ,1.6,  ,  ,  ,43.67, transfers, 
20-Sep-18, To Holidays   ,1.2,  ,  ,  ,45.27, transfers, 
20-Sep-18, Transport for London  ,2.4,  ,  ,  ,46.47, transport, 
20-Sep-18, Birleys Sandwiches  ,15.5,  ,  ,  ,48.87, restaurants, 
20-Sep-18, Sainsbury's  ,17.85,  ,  ,  ,64.37, groceries, 
18-Sep-18, To Holidays   ,0.3,  ,  ,  ,82.22, transfers, 
18-Sep-18, From Luca Mircoli  ,  ,8,  ,  ,82.52, transfers, 
18-Sep-18, To Holidays   ,1,  ,  ,  ,74.52, transfers, 
18-Sep-18, Can Can Brasserie  ,17.07,  ,  ,  ,75.52, restaurants, 
18-Sep-18, Tesco Superstore  ,12.18,  ,  ,  ,92.59, groceries, 
17-Sep-18, Meat and Shake  ,5.75,  ,  ,  ,104.77, restaurants, 
17-Sep-18, Café Nespresso  ,2,  ,  ,  ,110.52, restaurants, 
17-Sep-18, Kiehl?s Since 1851  ,49.5,  ,  ,  ,112.52, health, 
17-Sep-18, Tesco Express  ,6.5,  ,  ,  ,162.02, groceries, 
16-Sep-18, From Holidays   ,  ,75,  ,  ,168.52, transfers, 
16-Sep-18, Cash at Po Mill Lane 2221  ,40,  ,  ,  ,93.52, cash, 
16-Sep-18, To Holidays   ,1.2,  ,  ,  ,133.52, transfers, 
16-Sep-18, Transport for London  ,2.4,  ,  ,  ,134.72, transport, 
16-Sep-18, The Hummingbird Bakery  ,7.35,  ,  ,  ,137.12, groceries, 
16-Sep-18, The Japanese Canteen  ,20.52,  ,  ,  ,144.47, restaurants, 
15-Sep-18, To Holidays   ,1,  ,  ,  ,164.99, transfers, 
15-Sep-18, To Holidays   ,1.86,  ,  ,  ,165.99, transfers, 
15-Sep-18, To Holidays   ,1,  ,  ,  ,167.85, transfers, 
15-Sep-18, To Holidays   ,0.5,  ,  ,  ,168.85, transfers, 
15-Sep-18, To Holidays   ,2,  ,  ,  ,169.35, transfers, 
14-Sep-18, Exchange  to GBP FX Rate £1 = €1.1240 ,  ,102.95,  EUR 115.73 ,  ,171.35, general, 
14-Sep-18, To Holidays   ,1.3,  ,  ,  ,68.4, transfers, 
14-Sep-18, Transport for London  ,2.9,  ,  ,  ,69.7, transport, 
14-Sep-18, To Luca Mircoli  ,11,  ,  ,  ,72.6, transfers, 
14-Sep-18, To Luca Mircoli  ,10,  ,  ,  ,83.6, transfers, 
14-Sep-18, Exchange  to GBP FX Rate £1 = €1.1221 ,  ,89.11,  EUR 100.00 ,  ,93.6, general, 
13-Sep-18, To Holidays   ,0.2,  ,  ,  ,4.49, transfers, 
04-Sep-18, Boulestine  ,35,  ,  ,  ,4.69, restaurants, 
04-Sep-18, Boots  ,8.5,  ,  ,  ,39.69, health, 
04-Sep-18, Tesco Superstore  ,9.45,  ,  ,  ,48.19, groceries, 
03-Sep-18, From Luca Mircoli  ,  ,4,  ,  ,57.64, transfers, 
03-Sep-18, Patisserie Valerie  ,2,  ,  ,  ,53.64, restaurants, 
03-Sep-18, Princi  ,30.2,  ,  ,  ,55.64, restaurants, 
02-Sep-18, To Holidays   ,1,  ,  ,  ,85.84, transfers, 
02-Sep-18, Planet Organic  ,4.5,  ,  ,  ,86.84, groceries, 
01-Sep-18, To Holidays   ,1.1,  ,  ,  ,91.34, transfers, 
01-Sep-18, To Holidays   ,2,  ,  ,  ,92.44, transfers, 
01-Sep-18, To Holidays   ,2,  ,  ,  ,94.44, transfers, 
31-Aug-18, To Holidays   ,1.6,  ,  ,  ,96.44, transfers, 
31-Aug-18, Exchange  to GBP FX Rate £1 = €1.1167 ,  ,89.54,  EUR 100.00 ,  ,98.04, general, 
31-Aug-18, To Holidays   ,1,  ,  ,  ,8.5, transfers, 
28-Aug-18, Uber Greenlight  ,5,  ,  ,  ,9.5, transport, 
27-Aug-18, Uber Eats  ,17.47,  ,  ,  ,14.5, transport, 
26-Aug-18, To Holidays   ,2,  ,  ,  ,31.97, transfers, 
25-Aug-18, To Holidays   ,1.06,  ,  ,  ,33.97, transfers, 
25-Aug-18, Payment from S Migliorin  ,  ,35,  ,  ,35.03, general, FANCULO AHAH
20-Aug-18, Deutsche Bank  ,0.85,  ,  ,  ,0.03, groceries, 
20-Aug-18, Caffè Nero  ,1.85,  ,  ,  ,0.88, restaurants, 
20-Aug-18, Birleys Sandwiches  ,4,  ,  ,  ,2.73, restaurants, 
19-Aug-18, Wasabi Sushi & Bento  ,18.8,  ,  ,  ,6.73, restaurants, 
19-Aug-18, Wasabi Sushi & Bento  ,10.2,  ,  ,  ,25.53, restaurants, 
19-Aug-18, Deutsche Bank  ,2.9,  ,  ,  ,35.73, restaurants, 
19-Aug-18, Deutsche Bank  ,3,  ,  ,  ,38.63, restaurants, 
18-Aug-18, Cash at Kilburn Ug Station  ,10,  ,  ,  ,41.63, cash, 
18-Aug-18, Uber Eats  ,14.95,  ,  ,  ,51.63, transport, 
18-Aug-18, The Mandrake Hotel  ,99.56,  ,  ,  ,66.58, travel, 
18-Aug-18, Paul Smith Avery Row  ,29,  ,  ,  ,166.14, shopping, 
18-Aug-18, itsu  ,0.99,  ,  ,  ,195.14, restaurants, 
18-Aug-18, Sainsbury's Local  ,13.95,  ,  ,  ,196.13, groceries, 
18-Aug-18, Sainsbury's Local  ,14,  ,  ,  ,210.08, groceries, 
14-Aug-18, To Holidays   ,0.3,  ,  ,  ,224.08, transfers, 
14-Aug-18, To Holidays   ,2,  ,  ,  ,224.38, transfers, 
13-Aug-18, To Holidays   ,0.4,  ,  ,  ,226.38, transfers, 
13-Aug-18, To Holidays   ,2,  ,  ,  ,226.78, transfers, 
13-Aug-18, To Holidays   ,0.2,  ,  ,  ,228.78, transfers, 
13-Aug-18, To Holidays   ,1.6,  ,  ,  ,228.98, transfers, 
12-Aug-18, To Holidays   ,0.1,  ,  ,  ,230.58, transfers, 
12-Aug-18, To Holidays   ,0.88,  ,  ,  ,230.68, transfers, 
12-Aug-18, From Holidays   ,  ,87.64,  ,  ,231.56, transfers, 
12-Aug-18, Birleys Sandwiches  ,5.3,  ,  ,  ,143.92, restaurants, 
12-Aug-18, Deutsche Bank  ,1.45,  ,  ,  ,149.22, restaurants, 
12-Aug-18, Deutsche Bank  ,1.65,  ,  ,  ,150.67, restaurants, 
12-Aug-18, Pret A Manger  ,6.99,  ,  ,  ,152.32, restaurants, 
12-Aug-18, Caffè Nero  ,2.05,  ,  ,  ,159.31, restaurants, 
12-Aug-18, Uber Eats  ,31.96,  ,  ,  ,161.36, transport, 
12-Aug-18, To Holidays   ,1.4,  ,  ,  ,193.32, transfers, 
12-Aug-18, Transport for London  ,5.3,  ,  ,  ,194.72, transport, 
11-Aug-18, To Holidays   ,2,  ,  ,  ,200.02, transfers, 
11-Aug-18, To Holidays   ,0.1,  ,  ,  ,202.02, transfers, 
11-Aug-18, To Holidays   ,2,  ,  ,  ,202.12, transfers, 
11-Aug-18, To Holidays   ,0.02,  ,  ,  ,204.12, transfers, 
11-Aug-18, Deutsche Bank  ,0.7,  ,  ,  ,204.14, groceries, 
11-Aug-18, Wasabi Sushi & Bento  ,10.1,  ,  ,  ,204.84, restaurants, 
11-Aug-18, South Place Restaurant An  ,225,  ,  ,  ,214.94, restaurants, 
11-Aug-18, Deutsche Bank  ,3.25,  ,  ,  ,439.94, restaurants, 
11-Aug-18, Deutsche Bank  ,4.05,  ,  ,  ,443.19, restaurants, 
11-Aug-18, Deutsche Bank  ,1.45,  ,  ,  ,447.24, restaurants, 
11-Aug-18, To Holidays   ,0.08,  ,  ,  ,448.69, transfers, 
11-Aug-18, To Holidays   ,2,  ,  ,  ,448.77, transfers, 
10-Aug-18, To Holidays   ,1.1,  ,  ,  ,450.77, transfers, 
10-Aug-18, To Holidays   ,1.4,  ,  ,  ,451.87, transfers, 
10-Aug-18, To Holidays   ,1.9,  ,  ,  ,453.27, transfers, 
10-Aug-18, Deutsche Bank  ,0.7,  ,  ,  ,455.17, groceries, 
10-Aug-18, Deutsche Bank  ,6,  ,  ,  ,455.87, restaurants, 
10-Aug-18, Birleys Sandwiches  ,5.65,  ,  ,  ,461.87, restaurants, 
10-Aug-18, Tesco Express  ,1.19,  ,  ,  ,467.52, groceries, 
10-Aug-18, Deutsche Bank  ,3.85,  ,  ,  ,468.71, restaurants, 
10-Aug-18, To Holidays   ,0.7,  ,  ,  ,472.56, transfers, 
10-Aug-18, To Holidays   ,0.02,  ,  ,  ,473.26, transfers, 
09-Aug-18, To Holidays   ,2,  ,  ,  ,473.28, transfers, 
09-Aug-18, To Holidays   ,0.6,  ,  ,  ,475.28, transfers, 
09-Aug-18, To Holidays   ,1.1,  ,  ,  ,475.88, transfers, 
09-Aug-18, To Holidays   ,1.8,  ,  ,  ,476.98, transfers, 
09-Aug-18, To Holidays   ,50,  ,  ,  ,478.78, transfers, 
09-Aug-18, To Holidays   ,1.5,  ,  ,  ,528.78, transfers, 
09-Aug-18, Halfords - Kilburn Store  ,202.95,  ,  ,  ,530.28, transport, 
09-Aug-18, To Holidays   ,1.9,  ,  ,  ,733.23, transfers, 
08-Aug-18, To Holidays   ,1.62,  ,  ,  ,735.13, transfers, 
08-Aug-18, To Holidays   ,0.6,  ,  ,  ,736.75, transfers, 
08-Aug-18, To Gianluigi Coccia  ,1,  ,  ,  ,737.35, transfers, 
08-Aug-18, To Holidays   ,2,  ,  ,  ,738.35, transfers, 
08-Aug-18, To Holidays   ,1.2,  ,  ,  ,740.35, transfers, 
08-Aug-18, Transport for London  ,2.4,  ,  ,  ,741.55, transport, 
08-Aug-18, Hillman Butchers  ,22,  ,  ,  ,743.95, groceries, 
08-Aug-18, Badolina  ,9.7,  ,  ,  ,765.95, restaurants, 
08-Aug-18, Deutsche Bank  ,4.15,  ,  ,  ,775.65, restaurants, 
08-Aug-18, Deutsche Bank  ,4.6,  ,  ,  ,779.8, restaurants, 
08-Aug-18, To Holidays   ,0.3,  ,  ,  ,784.4, transfers, 
08-Aug-18, To Holidays   ,0.7,  ,  ,  ,784.7, transfers, 
07-Aug-18, To Holidays   ,0.1,  ,  ,  ,785.4, transfers, 
07-Aug-18, Exchange  to GBP FX Rate £1 = €1.1173 ,  ,707.04,  EUR 790.00 ,  ,785.5, general, 
07-Aug-18, To Holidays   ,1,  ,  ,  ,78.46, transfers, 
07-Aug-18, Transport for London  ,1.5,  ,  ,  ,79.46, transport, 
06-Aug-18, To Holidays   ,1.4,  ,  ,  ,80.96, transfers, 
06-Aug-18, Transport for London  ,5.3,  ,  ,  ,82.36, transport, 
06-Aug-18, Uber Eats  ,7.57,  ,  ,  ,87.66, transport, 
06-Aug-18, To Holidays   ,1.7,  ,  ,  ,95.23, transfers, 
06-Aug-18, To Holidays   ,0.6,  ,  ,  ,96.93, transfers, 
06-Aug-18, To Holidays   ,0.8,  ,  ,  ,97.53, transfers, 
05-Aug-18, Pret A Manger  ,6.24,  ,  ,  ,98.33, restaurants, 
05-Aug-18, Deutsche Bank  ,1.45,  ,  ,  ,104.57, restaurants, 
04-Aug-18, To Holidays   ,2,  ,  ,  ,106.02, transfers, 
04-Aug-18, To Holidays   ,2,  ,  ,  ,108.02, transfers, 
04-Aug-18, From Holidays   ,  ,99.81,  ,  ,110.02, transfers, 
04-Aug-18, Tesco Express  ,1.35,  ,  ,  ,10.21, groceries, 
04-Aug-18, Piada Bar  ,8,  ,  ,  ,11.56, restaurants, 
04-Aug-18, Deutsche Bank  ,5.35,  ,  ,  ,19.56, restaurants, 
04-Aug-18, Wasabi Sushi & Bento  ,15.8,  ,  ,  ,24.91, restaurants, 
04-Aug-18, Oriole Bar  ,21.38,  ,  ,  ,40.71, restaurants, 
03-Aug-18, To Holidays   ,1.1,  ,  ,  ,62.09, transfers, 
03-Aug-18, Uber Eats  ,21.2,  ,  ,  ,63.19, transport, 
03-Aug-18, Deutsche Bank  ,0.7,  ,  ,  ,84.39, groceries, 
03-Aug-18, Piada Bar  ,8,  ,  ,  ,85.09, restaurants, 
02-Aug-18, To Holidays   ,0.4,  ,  ,  ,93.09, transfers, 
02-Aug-18, To Holidays   ,1.3,  ,  ,  ,93.49, transfers, 
02-Aug-18, To Holidays   ,2,  ,  ,  ,94.79, transfers, 
02-Aug-18, Deutsche Bank  ,1.45,  ,  ,  ,96.79, restaurants, 
02-Aug-18, Deutsche Bank  ,2.7,  ,  ,  ,98.24, restaurants, 
02-Aug-18, To Holidays   ,1.3,  ,  ,  ,100.94, transfers, 
01-Aug-18, To Holidays   ,1.24,  ,  ,  ,102.24, transfers, 
01-Aug-18, To Holidays   ,2,  ,  ,  ,103.48, transfers, 
01-Aug-18, To Holidays   ,0.6,  ,  ,  ,105.48, transfers, 
01-Aug-18, To Holidays   ,0.4,  ,  ,  ,106.08, transfers, 
01-Aug-18, Transport for London  ,6.8,  ,  ,  ,106.48, transport, 
01-Aug-18, Deutsche Bank  ,1.1,  ,  ,  ,113.28, restaurants, 
01-Aug-18, Deutsche Bank  ,1.45,  ,  ,  ,114.38, restaurants, 
01-Aug-18, TortelliniCup London  ,5.5,  ,  ,  ,115.83, restaurants, 
01-Aug-18, Piada Bar  ,8,  ,  ,  ,121.33, restaurants, 
01-Aug-18, Deutsche Bank  ,4.25,  ,  ,  ,129.33, restaurants, 
01-Aug-18, To Holidays   ,2,  ,  ,  ,133.58, transfers, 
31-Jul-18, To Holidays   ,0.6,  ,  ,  ,135.58, transfers, 
31-Jul-18, To Holidays   ,1.1,  ,  ,  ,136.18, transfers, 
30-Jul-18, To Holidays   ,1,  ,  ,  ,137.28, transfers, 
30-Jul-18, Cash at Mantilla Limited - Pm  ,100,  ,  ,  ,138.28, cash, 
30-Jul-18, oaxaca Limited  ,11,  ,  ,  ,238.28, restaurants, 
30-Jul-18, Waitrose  ,87.37,  ,  ,  ,249.28, groceries, 
30-Jul-18, Va Swiss Cottage  ,12,  ,  ,  ,336.65, entertainment, 
30-Jul-18, TortelliniCup London  ,7.9,  ,  ,  ,348.65, restaurants, 
30-Jul-18, Transport for London  ,3.9,  ,  ,  ,356.55, transport, 
30-Jul-18, To Holidays   ,2,  ,  ,  ,360.45, transfers, 
30-Jul-18, To Holidays   ,1.1,  ,  ,  ,362.45, transfers, 
30-Jul-18, To Holidays   ,1.8,  ,  ,  ,363.55, transfers, 
30-Jul-18, To Holidays   ,1.5,  ,  ,  ,365.35, transfers, 
29-Jul-18, Koya City  ,11.8,  ,  ,  ,366.85, restaurants, 
29-Jul-18, Sainsbury's  ,0.55,  ,  ,  ,378.65, groceries, 
29-Jul-18, Sainsbury's  ,13,  ,  ,  ,379.2, groceries, 
29-Jul-18, Uber Eats  ,24.38,  ,  ,  ,392.2, transport, 
29-Jul-18, To Holidays   ,0.4,  ,  ,  ,416.58, transfers, 
29-Jul-18, Transport for London  ,4.8,  ,  ,  ,416.98, transport, 
29-Jul-18, Deutsche Bank  ,1.75,  ,  ,  ,421.78, restaurants, 
29-Jul-18, To Holidays   ,0.2,  ,  ,  ,423.53, transfers, 
29-Jul-18, From Angela Peruffo  ,  ,40,  ,  ,423.73, transfers, 
28-Jul-18, To Holidays   ,1.26,  ,  ,  ,383.73, transfers, 
28-Jul-18, To Holidays   ,2,  ,  ,  ,384.99, transfers, 
28-Jul-18, To Holidays   ,0.2,  ,  ,  ,386.99, transfers, 
28-Jul-18, To Holidays   ,2,  ,  ,  ,387.19, transfers, 
28-Jul-18, To Holidays   ,0.4,  ,  ,  ,389.19, transfers, 
28-Jul-18, Transport for London  ,6.8,  ,  ,  ,389.59, transport, 
28-Jul-18, The Good Yard  ,6.5,  ,  ,  ,396.39, restaurants, 
28-Jul-18, Pret A Manger  ,3.24,  ,  ,  ,402.89, restaurants, 
28-Jul-18, To Holidays   ,1.24,  ,  ,  ,406.13, transfers, 
28-Jul-18, To Holidays   ,2,  ,  ,  ,407.37, transfers, 
27-Jul-18, To Holidays   ,0.9,  ,  ,  ,409.37, transfers, 
27-Jul-18, To Holidays   ,2,  ,  ,  ,410.27, transfers, 
27-Jul-18, To Holidays   ,0.4,  ,  ,  ,412.27, transfers, 
27-Jul-18, Payment from L Maresca  ,  ,400,  ,  ,412.67, general, MONEY TRANSFER
27-Jul-18, To Holidays   ,0.5,  ,  ,  ,12.67, transfers, 
26-Jul-18, To Holidays   ,1.52,  ,  ,  ,13.17, transfers, 
26-Jul-18, To Robert Mois  ,9.65,  ,  ,  ,14.69, transfers, 
26-Jul-18, Transport for London  ,12.3,  ,  ,  ,24.34, transport, 
26-Jul-18, To Holidays   ,1,  ,  ,  ,36.64, transfers, 
25-Jul-18, Caffè Nero  ,2.05,  ,  ,  ,37.64, restaurants, 
25-Jul-18, Deutsche Bank  ,2.75,  ,  ,  ,39.69, restaurants, 
25-Jul-18, Simple Health Kitchen  ,18.5,  ,  ,  ,42.44, restaurants, 
25-Jul-18, Deutsche Bank  ,3.7,  ,  ,  ,60.94, restaurants, 
25-Jul-18, Deutsche Bank  ,3.75,  ,  ,  ,64.64, restaurants, 
24-Jul-18, Uber Eats  ,13.71,  ,  ,  ,68.39, transport, 
24-Jul-18, Crussh - Fit Food  Ju  ,5.6,  ,  ,  ,82.1, restaurants, 
24-Jul-18, To Holidays   ,1.4,  ,  ,  ,87.7, transfers, 
23-Jul-18, To Holidays   ,0.6,  ,  ,  ,89.1, transfers, 
23-Jul-18, To Holidays   ,0.5,  ,  ,  ,89.7, transfers, 
23-Jul-18, From Robert Mois  ,  ,7.9,  ,  ,90.2, transfers, 
23-Jul-18, To Holidays   ,0.5,  ,  ,  ,82.3, transfers, 
23-Jul-18, To Holidays   ,1,  ,  ,  ,82.8, transfers, 
23-Jul-18, itsu  ,10.58,  ,  ,  ,83.8, restaurants, 
23-Jul-18, Blue Posts  ,5.9,  ,  ,  ,94.38, restaurants, 
23-Jul-18, To Holidays   ,1.2,  ,  ,  ,100.28, transfers, 
23-Jul-18, Transport for London  ,2.4,  ,  ,  ,101.48, transport, 
23-Jul-18, Transport for London  ,2,  ,  ,  ,103.88, transport, 
23-Jul-18, To Holidays   ,1.9,  ,  ,  ,105.88, transfers, 
22-Jul-18, To Holidays   ,2,  ,  ,  ,107.78, transfers, 
22-Jul-18, To Holidays   ,0.8,  ,  ,  ,109.78, transfers, 
22-Jul-18, Chilango  ,33.75,  ,  ,  ,110.58, restaurants, 
22-Jul-18, Deutsche Bank  ,3.1,  ,  ,  ,144.33, restaurants, 
22-Jul-18, Caffè Nero  ,3.7,  ,  ,  ,147.43, restaurants, 
22-Jul-18, Deutsche Bank  ,4.8,  ,  ,  ,151.13, restaurants, 
22-Jul-18, To Holidays   ,1.2,  ,  ,  ,155.93, transfers, 
22-Jul-18, Transport for London  ,2.4,  ,  ,  ,157.13, transport, 
22-Jul-18, Starshine Db  ,17.6,  ,  ,  ,159.53, services, 
21-Jul-18, To Holidays   ,0.2,  ,  ,  ,177.13, transfers, 
21-Jul-18, To Holidays   ,0.84,  ,  ,  ,177.33, transfers, 
21-Jul-18, To Holidays   ,2,  ,  ,  ,178.17, transfers, 
21-Jul-18, Cash at Sainsbury's Bank  ,10,  ,  ,  ,180.17, cash, 
21-Jul-18, k10 Mincing Lane  ,16.45,  ,  ,  ,190.17, restaurants, 
21-Jul-18, To Holidays   ,0.4,  ,  ,  ,206.62, transfers, 
21-Jul-18, Transport for London  ,4.8,  ,  ,  ,207.02, transport, 
21-Jul-18, Simple Health Kitchen  ,6.9,  ,  ,  ,211.82, restaurants, 
21-Jul-18, Deutsche Bank  ,7.7,  ,  ,  ,218.72, restaurants, 
21-Jul-18, Deutsche Bank  ,3.1,  ,  ,  ,226.42, restaurants, 
20-Jul-18, From Robert Mois  ,  ,6.9,  ,  ,229.52, transfers, 
20-Jul-18, To Holidays   ,0.5,  ,  ,  ,222.62, transfers, 
20-Jul-18, To Holidays   ,0.8,  ,  ,  ,223.12, transfers, 
20-Jul-18, To Holidays   ,1.8,  ,  ,  ,223.92, transfers, 
20-Jul-18, eat Drink Wolf Limite  ,8.5,  ,  ,  ,225.72, restaurants, 
20-Jul-18, Deutsche Bank  ,1.65,  ,  ,  ,234.22, restaurants, 
20-Jul-18, Deutsche Bank  ,1.65,  ,  ,  ,235.87, restaurants, 
20-Jul-18, Birleys Sandwiches  ,4.85,  ,  ,  ,237.52, restaurants, 
20-Jul-18, Transport for London  ,4.8,  ,  ,  ,242.37, transport, 
20-Jul-18, Deutsche Bank  ,4.95,  ,  ,  ,247.17, restaurants, 
